Release Date,Movie Title,Production Budget,Domestic Gross,Worldwide Gross,Profit,Ratio
4/23/2019,Avengers: Endgame,400000000,858373000,2797800564,2397800564,0.142969
5/20/2011,Pirates of the Caribbean: On Stranger Tides,379000000,241071802,1045713802,666713802,0.362432
4/22/2015,Avengers: Age of Ultron,365000000,459005868,1395316979,1030316979,0.261589
12/16/2015,Star Wars Ep. VII: The Force Awakens,306000000,936662225,2064615817,1758615817,0.148212
4/25/2018,Avengers: Infinity War,300000000,678815482,2044540523,1744540523,0.146732
5/24/2007,Pirates of the Caribbean: At World’s End,300000000,309420425,960996492,660996492,0.312176
11/13/2017,Justice League,300000000,229024295,655945209,355945209,0.457355
10/6/2015,Spectre,300000000,200074175,879500760,579500760,0.341103
12/18/2019,Star Wars: The Rise of Skywalker,275000000,515202542,1072848487,797848487,0.256327
5/23/2018,Solo: A Star Wars Story,275000000,213767512,393151347,118151347,0.699476
3/7/2012,John Carter,263700000,73058679,282778100,19078100,0.932533
3/23/2016,Batman v Superman: Dawn of Justice,263000000,330360194,872395091,609395091,0.301469
12/13/2017,Star Wars Ep. VIII: The Last Jedi,262000000,620181382,1331635141,1069635141,0.196751
7/11/2019,The Lion King,260000000,543638043,1654367425,1394367425,0.15716
11/24/2010,Tangled,260000000,200821936,584899819,324899819,0.444521
5/4/2007,Spider-Man 3,258000000,336530303,894860230,636860230,0.288313
4/22/2016,Captain America: Civil War,250000000,408084349,1151918521,901918521,0.217029
7/15/2009,Harry Potter and the Half-Blood Prince,250000000,302089278,929411069,679411069,0.268988
12/12/2013,The Hobbit: The Desolation of Smaug,250000000,258241522,959358436,709358436,0.260591
12/10/2014,The Hobbit: The Battle of the Five Armies,250000000,255119788,940389558,690389558,0.265847
4/7/2017,The Fate of the Furious,250000000,225764765,1236703796,986703796,0.20215
9/29/2021,No Time to Die,250000000,159740451,761155836,511155836,0.328448
12/17/2009,Avatar,237000000,760507625,2845899541,2608899541,0.0832777
6/28/2006,Superman Returns,232000000,200120000,391081192,159081192,0.593227
7/19/2012,The Dark Knight Rises,230000000,448139099,1082228107,852228107,0.212525
5/23/2017,Pirates of the Caribbean: Dead Men Tell No Tales,230000000,172558876,794861794,564861794,0.289358
11/14/2008,Quantum of Solace,230000000,169368427,591692078,361692078,0.388716
4/25/2012,The Avengers,225000000,623357910,1515100211,1290100211,0.148505
7/6/2006,Pirates of the Caribbean: Dead Man’s Chest,225000000,423315812,1066179725,841179725,0.211034
6/14/2013,Man of Steel,225000000,291045518,667999518,442999518,0.336827
5/16/2008,The Chronicles of Narnia: Prince Caspian,225000000,141621490,417341288,192341288,0.539127
7/2/2013,The Lone Ranger,225000000,89302115,260002115,35002115,0.865378
6/27/2012,The Amazing Spider-Man,220000000,262030663,757890267,537890267,0.290279
4/11/2012,Battleship,220000000,65233400,313477717,93477717,0.701804
6/20/2017,Transformers: The Last Knight,217000000,130168683,602893340,385893340,0.359931
6/9/2015,Jurassic World,215000000,652306625,1669979967,1454979967,0.128744
5/23/2012,Men in Black 3,215000000,179020854,654213485,439213485,0.328639
6/24/2009,Transformers: Revenge of the Fallen,210000000,402111870,836519699,626519699,0.25104
6/25/2014,Transformers: Age of Extinction,210000000,245439076,1104054072,894054072,0.190208
5/26/2006,X-Men: The Last Stand,210000000,234362462,459260946,249260946,0.457256
5/14/2010,Robin Hood,210000000,105487148,322459006,112459006,0.651246
12/14/2005,King Kong,207000000,218080025,550517357,343517357,0.37601
12/7/2007,The Golden Compass,205000000,70107728,367262558,162262558,0.558184
8/26/2020,Tenet,205000000,58456624,362403476,157403476,0.565668
