Release Date,Movie Title,Production Budget,Domestic Gross,Worldwide Gross ,Profit,Ratio
9/13/2002,Barbershop,12000000,75781642,77063461,65063461,0.155716
6/3/1983,WarGames,12000000,74433837,74433837,62433837,0.161217
2/4/1994,Ace Ventura: Pet Detective,12000000,72217396,107217396,95217396,0.111922
2/24/2012,Act of Valor,12000000,70012847,82497035,70497035,0.14546
2/8/1985,Witness,12000000,65532576,65532576,53532576,0.183115
8/11/2006,Step Up,12000000,65328121,110989157,98989157,0.108119
2/2/2012,Chronicle,12000000,64575175,123681790,111681790,0.0970232
12/20/1996,Beavis and Butt-Head Do America,12000000,63118386,63118386,51118386,0.190119
1/1/2070,Patton,12000000,62500000,62500000,50500000,0.192
3/2/2012,Project X,12000000,54731865,103028188,91028188,0.116473
11/10/2017,Three Billboards Outside Ebbing Missouri,12000000,54513740,161456746,149456746,0.0743233
11/25/2016,Lion,12000000,51739495,149117900,137117900,0.0804732
5/4/2018,Overboard,12000000,50316123,91244913,79244913,0.131514
12/25/1997,Jackie Brown,12000000,39673162,74727492,62727492,0.160583
11/18/1983,Yentl,12000000,39012241,39012241,27012241,0.307596
4/25/2008,Harold & Kumar Escape from Guantanamo Bay,12000000,38108728,43353117,31353117,0.276797
11/1/2013,Philomena,12000000,37709979,98963392,86963392,0.121257
11/6/1981,Time Bandits,12000000,37400000,37400000,25400000,0.320856
2/15/2002,Crossroads,12000000,37188667,57000000,45000000,0.210526
7/9/2015,Paper Towns,12000000,32000304,85450484,73450484,0.140432
10/10/2008,Quarantine,12000000,31691811,41924774,29924774,0.286227
8/21/2002,One Hour Photo,12000000,31597131,52223306,40223306,0.229782
2/1/2008,The Eye,12000000,31418697,57577765,45577765,0.208414
4/7/2004,Johnson Family Vacation,12000000,31203964,31286759,19286759,0.383549
12/21/2001,How High,12000000,31155435,31222395,19222395,0.38434
10/7/2060,Spartacus,12000000,30000000,60000000,48000000,0.2
9/1/2006,Crank,12000000,27838408,43924923,31924923,0.273193
12/11/1992,The Muppet Christmas Carol,12000000,27379507,27972958,15972958,0.428986
8/12/2016,Hell or High Water,12000000,27007844,37584304,25584304,0.319282
10/25/2002,Frida,12000000,25885000,56131239,44131239,0.213785
7/5/2012,Katy Perry: Part of Me,12000000,25326071,32700439,20700439,0.366968
12/12/2014,Top Five,12000000,25317379,26001741,14001741,0.461508
9/11/1998,Rounders,12000000,22921898,22921898,10921898,0.523517
10/13/1993,Rudy,12000000,22750363,22750363,10750363,0.527464
4/28/2067,Casino Royale,12000000,22744718,41744718,29744718,0.287462
6/15/1979,Prophecy,12000000,22673340,22673340,10673340,0.529256
1/30/2015,Project Almanac,12000000,22348241,32909437,20909437,0.364637
8/15/2019,47 Meters Down: Uncaged,12000000,22260900,37989240,25989240,0.315879
10/23/2019,Black and Blue,12000000,22012729,22730144,10730144,0.527933
5/14/2010,Just Wright,12000000,21540363,21867665,9867665,0.548755
9/10/1999,Stir of Echoes,12000000,21133087,23059379,11059379,0.520396
1/13/1995,Tales from the Crypt: Demon Knight,12000000,21089146,21089146,9089146,0.569013
1/1/1978,The Boys from Brazil,12000000,19000000,19000000,7000000,0.631579
3/11/2005,The Upside of Anger,12000000,18761993,28915761,16915761,0.414999
3/3/2006,Aquamarine,12000000,18597342,22978953,10978953,0.522217
11/15/2013,Nebraska,12000000,17654912,24761360,12761360,0.484626
1/9/2004,My Baby's Daddy,12000000,17321573,17322212,5322212,0.692752
10/5/2001,Max Keeble's Big Move,12000000,17292381,17292381,5292381,0.693947
12/9/2011,Young Adult,12000000,16311571,22750356,10750356,0.527464
1/23/2020,The Turning,12000000,15472775,18460739,6460739,0.650028
9/4/2013,About Time,12000000,15323921,88538742,76538742,0.135534
