Release Date,Movie Title,Production Budget,Domestic Gross,Worldwide Gross,Profit,Profit%
6/27/2019,Spider-Man: Far From Home,160000000,390532085,1131113066,971113066,606.9456663
12/6/2018,Aquaman,160000000,335061807,1143758700,983758700,614.8491875
5/17/2007,Shrek the Third,160000000,322719944,807330936,647330936,404.581835
7/16/2010,Inception,160000000,292576195,728582465,568582465,355.3640406
11/18/2015,The Hunger Games: Mockingjay - Part 2,160000000,281723902,648986787,488986787,305.6167419
5/17/2013,Fast and Furious 6,160000000,238679850,789300444,629300444,393.3127775
5/14/2014,Godzilla,160000000,200676069,529076069,369076069,230.6725431
6/3/2011,X-Men: First Class,160000000,146408305,355408305,195408305,122.1301906
12/25/2008,The Curious Case of Benjamin Button,160000000,127509326,329631958,169631958,106.0199738
7/14/2010,The Sorcerer's Apprentice,160000000,63150991,217986320,57986320,36.24145
5/12/2006,Poseidon,160000000,60674817,181674817,21674817,13.54676063
5/25/2016,Warcraft,160000000,47365290,438899824,278899824,174.31239
11/1/2019,The Irishman,159000000,0,910234,-158089766,-99.42752579
9/29/2016,Deepwater Horizon,156000000,61433527,122603824,-33396176,-21.40780513
12/10/2010,The Chronicles of Narnia: The Voyage of the Daw…,155000000,104386950,418186950,263186950,169.7980323
3/25/2021,Godzilla vs. Kong,155000000,100563133,467826620,312826620,201.8236258
6/24/2015,Terminator: Genisys,155000000,89760956,432150894,277150894,178.8070284
3/16/2018,Pacific Rim: Uprising,155000000,59874525,290930148,135930148,87.69686968
11/24/2004,Alexander,155000000,34297191,167297191,12297191,7.933671613
7/14/2017,War for the Planet of the Apes,152000000,146880162,489592267,337592267,222.1001757
5/25/2001,Pearl Harbor,151500000,198539855,449239853,297739853,196.5279558
7/2/2007,Transformers,151000000,319246193,708272592,557272592,369.0546967
11/20/2019,Frozen II,150000000,477373578,1445182280,1295182280,863.4548533
5/29/2017,Wonder Woman,150000000,412563408,818058221,668058221,445.3721473
11/22/2013,Frozen,150000000,400953009,1265767173,1115767173,743.844782
2/10/2016,Zootopia,150000000,341268248,1004629935,854629935,569.75329
7/11/2007,Harry Potter and the Order of the Phoenix,150000000,292137260,940043931,790043931,526.695954
11/18/2005,Harry Potter and the Goblet of Fire,150000000,290201752,887070413,737070413,491.3802753
5/15/2003,The Matrix Reloaded,150000000,281553689,738576929,588576929,392.3846193
12/14/2007,I am Legend,150000000,256393010,585532684,435532684,290.3551227
1/27/2016,Moana,150000000,248757044,634965560,484965560,323.3103733
7/1/2008,Hancock,150000000,227946274,624234272,474234272,316.1561813
9/1/2021,Shang-Chi and the Legend of the Ten Rings,150000000,224543292,418148439,268148439,178.765626
7/15/2005,Charlie and the Chocolate Factory,150000000,206459076,475825484,325825484,217.2169893
6/29/2007,Ratatouille,150000000,206445654,626549695,476549695,317.6997967
10/30/2013,Thor: The Dark World,150000000,206362140,644602516,494602516,329.7350107
6/15/2005,Batman Begins,150000000,205343774,358858124,208858124,139.2387493
7/29/2015,Mission: Impossible—Rogue Nation,150000000,195042377,688858992,538858992,359.239328
7/18/2017,Dunkirk,150000000,190068280,519452014,369452014,246.3013427
4/29/2011,Thor,150000000,181030624,449326618,299326618,199.5510787
11/7/2008,Madagascar: Escape 2 Africa,150000000,180174880,599680774,449680774,299.7871827
5/1/2009,X-Men Origins: Wolverine,150000000,179883157,374825760,224825760,149.88384
5/22/2009,Night at the Museum: Battle of the Smithsonian,150000000,177243721,402231063,252231063,168.154042
5/26/2011,Kung Fu Panda 2,150000000,165249063,664837547,514837547,343.2250313
5/14/2015,Mad Max: Fury Road,150000000,153636354,367457874,217457874,144.971916
5/3/2019,Pokémon: Detective Pikachu,150000000,144105346,431482976,281482976,187.6553173
11/5/2003,The Matrix Revolutions,150000000,139270910,427300260,277300260,184.86684
3/20/2018,Ready Player One,150000000,137690172,579055653,429055653,286.037102
11/4/2005,Chicken Little,150000000,135386665,310043823,160043823,106.695882
5/5/2006,Mission: Impossible III,150000000,133501348,399387745,249387745,166.2584967
5/15/2009,Angels & Demons,150000000,133375846,490875846,340875846,227.250564
5/13/2004,Troy,150000000,133298577,483152040,333152040,222.10136
7/1/2010,The Last Airbender,150000000,131772187,319713881,169713881,113.1425873
11/2/2007,Bee Movie,150000000,126631277,287594577,137594577,91.729718
7/24/2009,G-Force,150000000,119436770,292817841,142817841,95.211894
11/21/2008,Bolt,150000000,114053579,328015029,178015029,118.676686
3/28/2012,Wrath of the Titans,150000000,83670083,305270083,155270083,103.5133887
11/16/2007,Beowulf,150000000,82280579,195080579,45080579,30.05371933
5/9/2012,Dark Shadows,150000000,79727149,238202668,88202668,58.80177867
6/28/2013,White House Down,150000000,73103784,205440387,55440387,36.960258
7/14/2021,Space Jam: A New Legacy,150000000,70528072,144032083,-5967917,-3.978611333
2/12/2010,The Wolfman,150000000,62189884,142634358,-7365642,-4.910428
12/15/2016,The Great Wall,150000000,45157105,334486852,184486852,122.9912347
9/25/2015,Pan,150000000,35088320,151525973,1525973,1.017315333
3/11/2011,Mars Needs Moms,150000000,21392758,39549758,-110450242,-73.63349467
11/4/2021,Red Notice,150000000,0,173638,-149826362,-99.88424133
2/3/2022,Moonfall,150000000,0,0,-150000000,-100
11/3/2006,Flushed Away,149000000,64665672,179357126,30357126,20.37391007
6/8/2012,Madagascar 3: Europe's Most Wanted,145000000,216391482,746921271,601921271,415.1181179
12/14/2011,Mission: Impossible—Ghost Protocol,145000000,209397903,694713230,549713230,379.1125724
6/5/2014,How to Train Your Dragon 2,145000000,177002924,614586270,469586270,323.8526
6/16/1999,Tarzan,145000000,171091819,448191819,303191819,209.0978062
2/20/2014,Mr. Peabody & Sherman,145000000,111506430,269806430,124806430,86.0734
11/20/2012,Rise of the Guardians,145000000,103412758,306900902,161900902,111.6557945
4/8/2005,Sahara,145000000,68671925,121645390,-23354610,-16.10662759
7/13/2016,Ghostbusters,144000000,128350574,229008658,85008658,59.03379028
11/22/2002,Die Another Day,142000000,160942139,431942139,289942139,204.1846049
7/9/2003,Pirates of the Caribbean: The Curse of the Blac…,140000000,305410819,654310819,514310819,367.3648707
5/8/2009,Star Trek,140000000,257730019,386839614,246839614,176.31401
7/1/1998,Armageddon,140000000,201578182,554600000,414600000,296.1428571
7/3/2002,Men in Black 2,140000000,190418803,441767803,301767803,215.5484307
7/22/2011,Captain America: The First Avenger,140000000,176654505,370569776,230569776,164.6926971
1/23/2016,Kung Fu Panda 3,140000000,143528619,521170825,381170825,272.264875
7/10/1998,Lethal Weapon 4,140000000,130444603,285400000,145400000,103.8571429
3/27/2013,G.I. Joe: Retaliation,140000000,122523060,375740705,235740705,168.3862179
12/5/2003,The Last Samurai,140000000,111110575,456810575,316810575,226.2932679
12/21/2005,Fun With Dick And Jane,140000000,110550000,203018919,63018919,45.01351357
12/5/2014,Exodus: Gods and Kings,140000000,65014513,268314513,128314513,91.65322357
6/30/2016,The BFG,140000000,55483770,199646680,59646680,42.60477143
10/3/2019,Gemini Man,140000000,48546770,166623705,26623705,19.01693214
2/24/2016,Gods of Egypt,140000000,31153464,138836756,-1163244,-0.8308885714
5/27/2022,Top Gun: Maverick,140000000,0,0,-140000000,-100
5/3/2002,Spider-Man,139000000,403706375,821706375,682706375,491.1556655
3/6/2009,Watchmen,138000000,107509799,186976250,48976250,35.49003623
7/29/2005,Stealth,138000000,32116746,76416746,-61583254,-44.62554638
6/13/2008,The Incredible Hulk,137500000,134806913,265573859,128073859,93.14462473
6/20/2003,Hulk,137000000,132177234,245031679,108031679,78.85524015
7/11/2001,Final Fantasy: The Spirits Within,137000000,32131830,85131830,-51868170,-37.8599781
11/14/2012,The Twilight Saga: Breaking Dawn Part 2,136200000,292324737,829724737,693524737,509.1958421
3/15/2013,The Croods,135000000,187168425,573068425,438068425,324.4951296
12/25/2015,The Revenant,135000000,183637894,532938302,397938302,294.7691126
11/19/1999,The World is Not Enough,135000000,126930660,361730660,226730660,167.948637
3/4/2011,Rango,135000000,123477607,245724600,110724600,82.01822222
11/14/2003,Master and Commander: The Far Side of the World,135000000,93926386,212912137,77912137,57.71269407
7/17/2013,Turbo,135000000,83028130,286896578,151896578,112.5159837
6/2/2016,Teenage Mutant Ninja Turtles: Out of the Shadows,135000000,82051601,245328374,110328374,81.72472148
